,ID,Job tenure,Age,Car price,Funding amount,Default (y)
254,255,22,57,4472,4472,0
3438,3439,13,52,8833,5190,0
486,487,11,57,15800,10800,0
5767,5768,25,51,16750,10750,0
1662,1663,14,61,14900,12900,0
1339,1340,15,74,14090,15056,1
63,64,0,65,11490,7690,0
6991,6992,4,41,3900,2900,0
1195,1196,6,73,12500,12500,0
5049,5050,36,52,4322,4696,0
7095,7096,36,65,14990,8364,0
100,101,8,25,5900,3315,0
1005,1006,5,32,8450,8184,1
367,368,5,45,5249,5249,0
5045,5046,19,74,6500,3400,0
5071,5072,3,46,7800,6800,0
2592,2593,7,72,9480,4942,0
2199,2200,28,51,16000,7250,0
1544,1545,1,26,5675,5675,1
994,995,4,62,9300,6869,0
1921,1922,3,42,8140,8854,1
5792,5793,21,45,13500,11000,0
432,433,3,68,7990,2190,0
4489,4490,0,63,6800,3800,0
7321,7322,9,69,11885,12000,0
5380,5381,18,51,13049,13853,0
5743,5744,4,40,8440,5364,0
4842,4843,7,52,11500,7595,0
1144,1145,27,46,6244,6244,0
1345,1346,14,77,4939,5077,0
6779,6780,15,76,15390,9885,1
181,182,4,52,3927,4349,0
1511,1512,10,74,3860,2663,0
1755,1756,27,51,6040,6693,0
4253,4254,23,50,8650,5150,0
5382,5383,2,49,8298,5701,0
421,422,2,42,9800,9800,1
208,209,21,46,8914,8914,0
7361,7362,15,47,9700,9532,0
996,997,37,57,15790,14590,1
5433,5434,7,65,5490,5915,0
6499,6500,2,32,3500,3759,0
5904,5905,2,55,14290,4290,0
2445,2446,12,54,9990,11686,1
5282,5283,20,39,8395,5818,0
1183,1184,0,54,8000,8765,0
6392,6393,1,48,11990,3990,1
4304,4305,30,48,5900,5900,0
7076,7077,14,55,7000,5000,0
7411,7412,3,33,7500,6000,0
6761,6762,8,50,6194,6680,0
622,623,6,49,7200,3600,0
503,504,14,77,10046,10046,1
1057,1058,5,64,5199,5875,1
6430,6431,11,28,8910,3889,0
26,27,44,61,19312,19312,0
544,545,0,41,8490,9371,0
6660,6661,4,35,8900,2900,0
2317,2318,18,40,8912,9464,0
4091,4092,5,29,5500,5500,0
5517,5518,1,54,7600,2758,0
1941,1942,10,31,10500,7000,0
2266,2267,18,49,14600,7086,0
1175,1176,1,50,6350,6350,0
1565,1566,25,52,8590,9031,1
2405,2406,15,41,4401,4401,0
3878,3879,2,24,6300,4300,0
2855,2856,7,29,4780,5126,0
1055,1056,3,58,5628,4243,1
2183,2184,22,41,8000,8000,0
4715,4716,8,72,13900,13900,0
500,501,1,56,7950,6950,1
245,246,14,60,11385,11485,0
611,612,14,72,9540,7654,0
5740,5741,18,54,5971,6138,0
4371,4372,25,49,14623,14623,0
37,38,25,58,18538,9273,0
3027,3028,40,57,7106,7489,0
5768,5769,3,43,6887,6887,0
5963,5964,6,55,5990,6695,0
4812,4813,1,65,5800,4300,0
2921,2922,31,48,5890,3890,0
1480,1481,26,56,9000,9739,0
7368,7369,9,55,10760,8639,0
3154,3155,2,35,5990,5030,0
3006,3007,24,55,14990,7490,0
3392,3393,5,67,13900,8900,0
4927,4928,15,74,12500,10200,0
7167,7168,6,34,7190,7951,0
2510,2511,11,75,12020,1510,0
6768,6769,1,33,5490,5530,1
2398,2399,17,82,13995,10695,0
1872,1873,4,55,11343,10343,1
6099,6100,24,45,7991,7991,0
1446,1447,7,68,6400,4025,0
1400,1401,1,29,8990,4129,0
4545,4546,0,40,3990,2213,1
3210,3211,1,47,10490,6490,0
2115,2116,30,57,6900,3050,0
6055,6056,0,58,5990,2059,0
1940,1941,27,50,7185,7517,0
216,217,42,59,16450,5600,0
2173,2174,13,49,4700,3700,0
926,927,3,59,7500,7850,0
889,890,15,36,9170,10084,0
2802,2803,9,67,9485,7441,0
730,731,24,53,15990,7517,0
662,663,5,54,6731,6731,0
19,20,44,60,13800,11808,0
5865,5866,18,47,6220,3564,0
3308,3309,38,57,11110,9110,0
7303,7304,3,34,8900,3085,0
6073,6074,11,77,17460,5350,0
1737,1738,13,53,12960,12099,0
6171,6172,3,36,2897,3140,0
6336,6337,29,48,6500,6645,0
6773,6774,23,58,15775,10000,0
931,932,11,72,13819,12819,0
1582,1583,19,51,11670,7270,0
2478,2479,17,59,4300,2967,0
550,551,29,55,6800,6800,0
2678,2679,17,60,11900,6400,0
554,555,22,52,4000,4112,0
7193,7194,13,44,9000,4500,0
6618,6619,10,26,4554,5101,1
3774,3775,5,44,5500,5900,0
548,549,18,40,6300,6236,0
58,59,15,56,11801,12500,0
2549,2550,12,66,8900,7400,0
2903,2904,8,55,13750,10230,0
6204,6205,1,46,6409,7476,0
5548,5549,23,45,7813,8381,0
2024,2025,27,57,17250,13750,0
121,122,1,59,11650,5906,0
4382,4383,2,49,8490,5631,1
2908,2909,40,62,7617,7617,0
2578,2579,13,53,5388,5589,0
4574,4575,15,53,11895,9695,0
4213,4214,2,64,10250,9109,0
5852,5853,10,74,4430,4555,0
6337,6338,5,52,10990,10990,0
6764,6765,4,57,7800,7800,0
5296,5297,5,44,6500,7231,0
1056,1057,26,50,12850,9750,0
4857,4858,24,51,14990,5350,0
2574,2575,22,61,8970,6970,0
1373,1374,8,68,8990,8990,1
7005,7006,5,70,11557,12032,0
6253,6254,40,66,16150,14104,0
473,474,17,47,8300,8300,0
5698,5699,3,32,6550,7318,1
3813,3814,21,77,5800,5800,0
3182,3183,30,61,9100,9100,0
5610,5611,5,50,6200,6200,0
940,941,12,54,5480,5826,1
5717,5718,26,45,14800,10902,0
6725,6726,27,58,7067,7067,0
4877,4878,15,58,11950,9795,0
5458,5459,4,53,11000,12033,1
7023,7024,10,39,5900,5900,0
5187,5188,7,28,6701,4701,0
2614,2615,14,70,13820,9820,0
5758,5759,1,57,7900,8057,0
1600,1601,14,73,7078,4000,0
4100,4101,1,39,1600,1600,0
3896,3897,9,63,11508,11508,1
2847,2848,16,77,5990,2990,0
3238,3239,8,60,7990,5690,0
2523,2524,1,29,2239,2239,0
3753,3754,41,59,19630,17830,0
7083,7084,39,56,5985,6004,0
1553,1554,16,36,10000,9065,0
2926,2927,2,44,5641,5851,0
3656,3657,26,55,18402,3500,0
6539,6540,1,38,8000,8710,1
2462,2463,1,32,6000,6000,0
2755,2756,18,49,12950,11933,0
1034,1035,11,45,9990,7698,0
7288,7289,6,59,13880,11077,0
7067,7068,5,41,9100,4415,0
6304,6305,7,53,7990,8796,0
0,1,34,55,4875,3087,0
2997,2998,5,57,13309,5294,0
1149,1150,1,38,10790,4790,0
4001,4002,8,73,12750,9750,0
5377,5378,8,32,7940,9463,0
5783,5784,11,55,9990,10503,0
3312,3313,8,57,12400,12212,0
4436,4437,10,60,11200,5200,0
2440,2441,18,46,9900,7100,0
110,111,3,30,6012,6456,0
1623,1624,30,47,8469,9202,0
4215,4216,7,44,6200,6315,0
6063,6064,5,61,10561,10542,0
4508,4509,13,48,8839,8839,0
425,426,30,55,8900,9573,0
6974,6975,15,82,7995,7995,0
789,790,9,48,7990,7990,0
6947,6948,1,43,10390,7389,0
5676,5677,1,58,9900,10619,1
3550,3551,0,63,11300,11300,0
3649,3650,29,58,6680,6992,0
6847,6848,17,42,10905,12401,0
620,621,4,52,4781,4781,1
3077,3078,9,61,7700,8098,0
5910,5911,9,34,7990,9489,0
3871,3872,4,59,11420,11420,0
3091,3092,0,50,3990,4454,0
6822,6823,7,32,5750,6248,0
2543,2544,2,45,9090,6665,0
6587,6588,12,53,9850,6000,0
2576,2577,34,51,9500,9325,0
4264,4265,16,55,3032,3032,1
393,394,8,69,8021,8021,0
3439,3440,9,35,9300,10084,0
1883,1884,22,50,10450,6570,0
1103,1104,4,28,6560,7140,0
5955,5956,20,44,8999,9529,0
4047,4048,9,37,4000,3759,0
4745,4746,2,68,1600,1675,0
5286,5287,24,51,6749,6164,0
1477,1478,17,55,8500,8500,0
4647,4648,18,41,7490,4742,0
2283,2284,9,51,11980,11980,0
4680,4681,1,58,6165,6607,1
7265,7266,7,32,4634,4998,1
2399,2400,3,68,10990,7367,1
5716,5717,24,47,5255,5255,0
6502,6503,17,44,10900,5900,0
5306,5307,0,50,7551,8125,0
4220,4221,31,59,16400,11923,0
4679,4680,15,54,7790,7790,0
2388,2389,21,76,5900,2400,0
6016,6017,20,44,7990,8672,0
2268,2269,17,50,4812,5173,0
5329,5330,36,61,15947,15947,0
3824,3825,15,54,6590,4506,0
2191,2192,32,51,4200,4200,0
1694,1695,2,58,6069,6546,0
7015,7016,11,43,4524,4524,0
4808,4809,0,43,7600,7600,0
5186,5187,15,60,9300,8514,0
6222,6223,24,51,4761,4761,0
2418,2419,25,55,4140,4140,0
3045,3046,15,55,7890,8804,1
4865,4866,8,57,5069,3140,0
1193,1194,2,55,7990,6508,0
4769,4770,15,49,5900,4691,0
6368,6369,24,83,9850,2592,0
1782,1783,8,62,6400,7159,0
1665,1666,1,66,7896,7896,0
4738,4739,0,64,4500,4816,1
7269,7270,15,64,7890,8133,1
3989,3990,6,66,9085,9735,0
4925,4926,42,59,16110,5854,0
6103,6104,3,65,5101,5271,0
5403,5404,6,69,13300,5300,0
5753,5754,7,46,12490,7611,0
6469,6470,37,63,8828,8828,0
6691,6692,12,77,10000,5000,0
297,298,26,45,8900,6900,0
6548,6549,2,54,4888,4888,0
87,88,8,47,9950,7950,0
3428,3429,33,61,11800,3800,0
6245,6246,25,53,12500,8000,0
3720,3721,13,54,7500,8149,0
534,535,4,68,6600,8186,1
691,692,13,77,6500,6500,1
6662,6663,2,58,11490,12948,0
1321,1322,8,51,9540,7113,0
3032,3033,18,45,9276,9276,1
5411,5412,21,58,9836,9836,1
7306,7307,13,46,8028,6824,0
2522,2523,23,45,8950,8518,0
3208,3209,9,69,13300,12300,0
5617,5618,9,57,3260,3587,0
476,477,12,76,11770,9770,0
3995,3996,1,55,6990,6990,1
6220,6221,2,32,6500,5988,0
6498,6499,19,45,5390,5845,0
7207,7208,13,67,7900,9847,1
4689,4690,36,52,15985,15281,0
3332,3333,16,54,7700,3000,0
3263,3264,11,56,4450,4000,0
6778,6779,7,66,11950,10900,0
5171,5172,8,55,11395,8879,0
7291,7292,9,61,10930,10930,0
263,264,32,59,13700,12700,0
3113,3114,3,60,4016,4016,0
1371,1372,4,55,10470,4682,0
6671,6672,1,55,7860,5990,0
6695,6696,0,57,10990,8490,0
4252,4253,26,48,8800,8800,0
4369,4370,26,45,6787,7304,0
5899,5900,2,55,5900,5707,0
1789,1790,2,48,5602,5969,0
1964,1965,36,59,7897,8173,0
1902,1903,0,53,9030,10277,0
5662,5663,1,38,7990,8816,1
6347,6348,10,35,5281,5281,0
2157,2158,11,61,11900,7400,0
3661,3662,2,45,7900,6519,0
1615,1616,0,60,6637,7113,0
3543,3544,30,54,4598,4598,0
4505,4506,32,51,15990,8500,0
5284,5285,6,66,15125,12939,0
239,240,5,29,4467,4817,0
4851,4852,22,59,8500,9153,1
6696,6697,15,45,9600,6110,0
6634,6635,26,61,5000,5000,0
