,Job tenure,Age,Car price,Funding amount,Default (y)
1094,0,27,12200,12200,0
3000,4,30,16900,20346,0
543,2,20,5990,5990,1
752,7,40,10990,13288,0
4629,5,29,12490,13871,0
1554,3,54,18930,18930,1
2036,7,47,14800,13649,0
6290,4,29,4490,4827,0
3784,6,46,12585,10285,0
2662,2,48,10990,11955,0
2312,4,68,11100,8556,0
1501,3,23,4650,4650,0
3003,2,48,5590,6370,0
4987,0,25,11550,12537,0
7173,7,55,10690,12184,0
1036,2,47,7200,7200,0
585,1,23,12990,12623,1
7421,8,44,17980,18719,0
3262,1,21,8990,9768,0
6654,2,26,11400,9237,0
5269,0,60,3990,4105,0
465,1,41,20950,21800,0
1886,0,28,11500,11500,0
1216,1,53,4390,4000,0
1649,2,42,13870,15366,0
668,1,47,12550,13099,0
3298,0,35,15000,15000,1
5195,6,41,13750,13750,0
2906,0,18,12800,13908,1
3718,6,31,14300,13093,0
4441,0,45,11990,11990,0
3862,0,28,9950,9550,1
708,5,70,14690,14690,0
7124,4,24,5990,6489,0
3949,3,22,13333,11747,0
3113,3,60,4016,4016,0
847,0,25,26000,29175,1
2900,0,46,7940,8610,0
4055,2,30,11387,11526,0
2001,4,36,5990,5990,0
4442,6,25,13990,13990,0
5495,3,26,7000,7573,1
2450,1,51,7480,8127,1
2683,2,21,22040,25333,1
1894,1,27,14933,13499,0
4695,8,35,12000,12000,0
103,0,41,16379,15374,1
2963,4,47,5250,6161,1
861,2,24,15340,16688,1
4487,3,39,21475,20327,0
1880,9,50,14351,14351,0
5557,4,32,8800,10208,0
3559,2,20,13990,15289,1
480,4,36,10990,10990,0
2020,7,81,7590,7590,1
3621,2,55,9630,11643,1
2182,0,54,7705,7705,0
5144,1,50,4990,3211,0
5112,2,18,7600,7600,0
5001,2,47,9250,10170,0
3698,5,24,19100,17990,0
4248,2,30,5050,5164,0
3733,1,48,12880,15573,0
6780,2,32,4378,4490,0
7354,1,23,15500,15723,0
1666,0,39,12990,14837,0
188,6,38,12159,10659,0
4885,8,73,9500,9500,0
4279,7,45,16950,16950,0
3011,1,53,23005,23122,1
6977,2,68,8950,11055,0
5055,1,54,12490,12490,0
6074,6,35,20111,20290,0
2318,3,20,8450,8874,1
871,0,56,12990,10990,0
1393,4,55,19950,21988,0
3616,0,35,7980,8593,1
2052,1,45,6700,4700,0
1079,2,34,11715,11840,0
3601,8,67,10100,10501,0
6304,7,53,7990,8796,0
6398,8,73,22990,22990,1
7006,0,19,19900,21650,1
111,0,42,9990,11381,0
633,5,24,10850,11957,0
5786,1,24,28990,29777,1
401,1,29,30968,29107,1
12,2,48,13400,11800,0
4462,6,77,17600,17600,0
1018,1,22,15885,17642,1
7133,2,65,11500,11500,0
3820,2,45,3488,3488,0
238,2,49,21145,25455,0
5785,2,36,10389,9191,0
903,9,38,10200,9900,0
2213,2,32,5790,6442,0
5430,3,31,20990,22844,0
2275,2,42,24500,26201,1
7249,0,33,10500,8341,0
2168,2,31,3730,4061,0
3328,5,51,4000,4433,0
7203,7,55,21524,21524,0
5193,1,36,8147,8147,0
6993,5,52,10000,10866,0
5025,2,33,23500,23500,0
7139,7,40,8675,9425,0
5568,8,72,5880,6302,1
1434,0,38,12028,12028,0
6240,8,33,13750,15154,0
3166,2,47,17975,16412,0
2144,3,53,13350,12970,0
2536,0,46,4250,4583,0
6056,6,47,11636,12539,0
2654,4,31,15995,17214,1
