,ID,Job tenure,Age,Car price,Default (y)
1075,1076,10,51,9767,0
2510,2511,11,75,12020,0
263,264,32,59,13700,0
3113,3114,3,60,4016,0
2087,2088,21,77,7600,1
3263,3264,11,56,4450,0
1790,1791,19,48,13500,0
764,765,5,29,11600,0
1511,1512,10,74,3860,0
1964,1965,36,59,7897,0
5804,5805,16,77,5350,0
1393,1394,4,55,19950,0
106,107,6,28,20400,0
2338,2339,11,53,14440,0
2157,2158,11,61,11900,0
1649,1650,2,42,13870,0
429,430,0,38,11199,0
6651,6652,12,44,31000,0
2389,2390,18,46,29490,0
1042,1043,5,49,11999,0
1615,1616,0,60,6637,0
2002,2003,3,31,26490,0
7242,7243,35,59,26470,0
3543,3544,30,54,4598,0
3024,3025,36,58,22487,0
5284,5285,6,66,15125,0
437,438,4,27,8990,1
381,382,2,62,28930,1
239,240,5,29,4467,0
742,743,13,46,15635,0
2592,2593,7,72,9480,0
1302,1303,9,31,20880,1
217,218,1,64,22610,1
4974,4975,23,88,4000,0
3458,3459,4,57,15655,0
2648,2649,1,28,23800,0
1244,1245,0,36,15990,1
318,319,17,56,8390,0
1840,1841,10,70,6490,0
5006,5007,28,60,13209,0
5246,5247,11,50,20780,0
2470,2471,2,43,17900,0
